시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,반려동물 동반 가능정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,입장(이용료)가격 정보,반려동물 전용 정보,최종작성일,리 명칭
21세기동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,보광동,259-1 번지,보광로,46 번,37.52832,126.9992,4414,서울특별시 용산구 보광로 46,서울 용산구 보광동 259-1,02-749-6750,https://blog.naver.com/vetsj21,매주 일요일,월~토 09:00~18:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 강서 젠틀리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,마곡동,747 번지,마곡중앙1로,72 번,37.55904,126.8201,7629,서울특별시 강서구 마곡중앙1로 72,"""서울 강서구 마곡동 747""",02-2662-8111,https://blog.naver.com/gentlelee2020,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 굿케어동물의료센터,반려동물업,반려의료,동물병원,서울특별시,관악구,봉천동,1673-21 번지,남부순환로,1861 번,37.48,126.9569,8739,서울특별시 관악구 남부순환로 1861,서울 관악구 봉천동 1673-21,02-6956-2475,https://blog.naver.com/goodcare24,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 글로리 동물병원,반려동물업,반려의료,동물병원,서울특별시,금천구,독산동,145-13 번지,시흥대로,483 번,37.47674,126.8983,8531,서울특별시 금천구 시흥대로 483,서울 금천구 독산동 145-13,02-855-8575,https://blog.naver.com/gloryamc,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 동물응급의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,중화동,207 번지,망우로,247 번,37.59532,127.0796,2117,서울특별시 중랑구 망우로 247,서울 중랑구 중화동 207,02-494-7582,http://royalamc.com/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 명동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,구로구,개봉동,492 번지,남부순환로,775 번,37.50157,126.8472,8236,서울특별시 구로구 남부순환로 775,서울 구로구 개봉동 492,02-2619-5102,https://blog.naver.com/petsong1472,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 산들산들 동물병원,반려동물업,반려의료,동물병원,서울특별시,마포구,아현동,424-14 번지,마포대로16길,7 번,37.55097,126.9565,4205,서울특별시 마포구 마포대로16길 7,서울 마포구 아현동 424-14,02-393-3588,https://24sdsdah.modoo.at/,연중무휴,"월~금 10:00~24:00, 토~일 10:00~20:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 서울 탑 동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,신정동,1182-11 번지,중앙로,237 번,37.51774,126.8536,8073,서울특별시 양천구 중앙로 237,서울 양천구 신정동 1182-11,02-2601-8875,https://blog.naver.com/animalhospital-,연중무휴,매일 09:00~21:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 스마트동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,신사동,587-13 번지,도산대로,213 번,37.5207,127.03,6026,서울특별시 강남구 도산대로 213,서울 강남구 신사동 587-13,02-549-0275,https://blog.naver.com/smart7582,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 시유동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,용산구,이촌동,302-88 번지,이촌로64길,24 번,37.52,126.9699,4427,서울특별시 용산구 이촌로64길 24,서울 용산구 이촌동 302-88,02-793-0075,https://blog.naver.com/seeu_amc,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
